id,marital-status,occupation,relationship,race,gender
8665, Divorced, Adm-clerical, Unmarried, White, Female
8666, Married-civ-spouse, Tech-support, Husband, White, Male
8667, Married-civ-spouse, Transport-moving, Husband, White, Male
8668, Married-civ-spouse, Sales, Husband, White, Male
8669, Married-civ-spouse, Craft-repair, Husband, White, Male
8670, Married-civ-spouse, Exec-managerial, Husband, White, Male
8671, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Female
8672, Never-married, Prof-specialty, Not-in-family, White, Male
8673, Divorced, Sales, Unmarried, White, Female
8674, Married-civ-spouse, ?, Own-child, White, Female
8675, Married-civ-spouse, Farming-fishing, Husband, White, Male
8676, Never-married, Transport-moving, Own-child, White, Male
8677, Never-married, Prof-specialty, Not-in-family, White, Female
8678, Married-civ-spouse, Transport-moving, Husband, White, Male
8679, Never-married, Machine-op-inspct, Own-child, Black, Female
8680, Never-married, Prof-specialty, Not-in-family, White, Male
8681, Never-married, Craft-repair, Own-child, White, Male
8682, Married-civ-spouse, Craft-repair, Husband, White, Male
8683, Married-civ-spouse, Prof-specialty, Wife, White, Female
8684, Widowed, Adm-clerical, Not-in-family, White, Female
8685, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
8686, Divorced, Other-service, Unmarried, White, Female
8687, Married-civ-spouse, Craft-repair, Husband, White, Male
8688, Divorced, Craft-repair, Own-child, White, Female
8689, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male
8690, Married-civ-spouse, Craft-repair, Husband, White, Male
8691, Divorced, Craft-repair, Own-child, Black, Male
8692, Married-civ-spouse, Craft-repair, Husband, White, Male
8693, Married-civ-spouse, ?, Husband, White, Male
8694, Divorced, Handlers-cleaners, Not-in-family, White, Male
8695, Married-civ-spouse, ?, Husband, White, Male
8696, Never-married, Other-service, Own-child, White, Female
8697, Married-civ-spouse, Prof-specialty, Husband, White, Male
8698, Divorced, Farming-fishing, Not-in-family, White, Male
8699, Married-civ-spouse, Farming-fishing, Husband, White, Male
8700, Divorced, Exec-managerial, Unmarried, Black, Female
8701, Married-civ-spouse, Craft-repair, Husband, White, Male
8702, Never-married, Craft-repair, Other-relative, Black, Female
8703, Divorced, Exec-managerial, Own-child, White, Female
8704, Never-married, Prof-specialty, Not-in-family, White, Female
8705, Divorced, Other-service, Not-in-family, White, Male
8706, Never-married, Prof-specialty, Not-in-family, White, Male
8707, Divorced, Other-service, Unmarried, White, Female
8708, Never-married, Exec-managerial, Not-in-family, White, Female
8709, Never-married, Prof-specialty, Own-child, White, Female
8710, Never-married, Sales, Own-child, Black, Male
8711, Married-civ-spouse, Prof-specialty, Husband, Other, Male
8712, Married-civ-spouse, Farming-fishing, Husband, White, Male
8713, Married-civ-spouse, Exec-managerial, Husband, White, Male
8714, Married-civ-spouse, Prof-specialty, Wife, White, Female
8715, Divorced, Exec-managerial, Not-in-family, White, Female
8716, Married-civ-spouse, Sales, Husband, White, Male
8717, Divorced, Machine-op-inspct, Own-child, White, Female
8718, Married-civ-spouse, Craft-repair, Husband, White, Male
8719, Never-married, Exec-managerial, Other-relative, White, Male
8720, Married-civ-spouse, Exec-managerial, Husband, White, Male
8721, Never-married, Exec-managerial, Other-relative, White, Male
8722, Married-civ-spouse, Prof-specialty, Husband, White, Male
8723, Married-civ-spouse, Transport-moving, Husband, White, Male
8724, Never-married, Other-service, Own-child, White, Male
8725, Married-civ-spouse, Sales, Husband, White, Male
8726, Married-civ-spouse, Prof-specialty, Wife, White, Female
8727, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male
8728, Divorced, Adm-clerical, Not-in-family, White, Female
8729, Married-civ-spouse, Transport-moving, Husband, White, Male
8730, Married-civ-spouse, Transport-moving, Husband, White, Male
8731, Divorced, Prof-specialty, Not-in-family, White, Male
8732, Divorced, Exec-managerial, Not-in-family, White, Female
8733, Never-married, Other-service, Not-in-family, White, Male
8734, Never-married, Prof-specialty, Own-child, White, Female
8735, Married-civ-spouse, Other-service, Husband, Other, Male
8736, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
8737, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
8738, Divorced, Adm-clerical, Unmarried, White, Male
8739, Married-civ-spouse, Other-service, Wife, White, Female
8740, Never-married, Farming-fishing, Not-in-family, White, Male
8741, Married-civ-spouse, Exec-managerial, Husband, White, Male
8742, Married-civ-spouse, Sales, Husband, White, Male
8743, Married-civ-spouse, Exec-managerial, Husband, White, Male
8744, Married-civ-spouse, Exec-managerial, Husband, White, Male
8745, Never-married, Handlers-cleaners, Other-relative, White, Male
8746, Married-civ-spouse, Transport-moving, Husband, White, Male
8747, Married-civ-spouse, Exec-managerial, Wife, Black, Female
8748, Married-civ-spouse, Adm-clerical, Husband, White, Male
8749, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
8750, Separated, ?, Unmarried, White, Female
8751, Never-married, Tech-support, Unmarried, White, Female
8752, Married-civ-spouse, Sales, Husband, White, Male
8753, Never-married, Adm-clerical, Own-child, White, Female
8754, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
8755, Divorced, Craft-repair, Own-child, White, Male
8756, Separated, Prof-specialty, Not-in-family, White, Male
8757, Never-married, Prof-specialty, Not-in-family, White, Female
8758, Never-married, ?, Own-child, White, Female
8759, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
8760, Divorced, Transport-moving, Not-in-family, White, Male
8761, Divorced, Exec-managerial, Not-in-family, Black, Female
8762, Married-civ-spouse, Tech-support, Husband, White, Male
8763, Married-spouse-absent, Machine-op-inspct, Unmarried, White, Female
8764, Never-married, Handlers-cleaners, Not-in-family, White, Male
8765, Married-civ-spouse, ?, Husband, White, Male
8766, Never-married, Protective-serv, Own-child, White, Male
8767, Divorced, Prof-specialty, Not-in-family, White, Male
8768, Married-civ-spouse, Exec-managerial, Husband, White, Male
8769, Married-civ-spouse, Protective-serv, Husband, White, Male
8770, Never-married, ?, Own-child, White, Female
8771, Never-married, Prof-specialty, Not-in-family, White, Female
8772, Widowed, Other-service, Unmarried, White, Female
8773, Divorced, Other-service, Unmarried, Black, Female
8774, Married-civ-spouse, Prof-specialty, Husband, White, Male
8775, Married-civ-spouse, Sales, Husband, White, Male
8776, Never-married, Other-service, Own-child, White, Male
8777, Married-civ-spouse, Exec-managerial, Husband, White, Male
8778, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
8779, Married-civ-spouse, Prof-specialty, Husband, White, Male
8780, Married-civ-spouse, Sales, Husband, White, Male
8781, Divorced, Prof-specialty, Unmarried, White, Female
8782, Married-civ-spouse, Exec-managerial, Husband, White, Male
8783, Never-married, ?, Own-child, White, Male
8784, Married-civ-spouse, Transport-moving, Husband, White, Male
8785, Never-married, Handlers-cleaners, Own-child, White, Male
8786, Married-civ-spouse, Craft-repair, Husband, White, Male
8787, Widowed, Craft-repair, Not-in-family, White, Female
8788, Never-married, Farming-fishing, Own-child, White, Male
8789, Never-married, ?, Own-child, White, Female
8790, Divorced, Prof-specialty, Not-in-family, White, Female
8791, Married-civ-spouse, Adm-clerical, Wife, White, Female
8792, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
8793, Married-civ-spouse, Craft-repair, Husband, White, Male
8794, Married-civ-spouse, Craft-repair, Husband, Black, Male
8795, Married-civ-spouse, Tech-support, Husband, White, Male
8796, Married-civ-spouse, ?, Husband, White, Male
8797, Married-civ-spouse, Transport-moving, Husband, White, Male
8798, Never-married, Craft-repair, Own-child, White, Male
8799, Never-married, Other-service, Own-child, White, Male
8800, Divorced, Other-service, Not-in-family, White, Female
8801, Never-married, Protective-serv, Not-in-family, White, Male
8802, Widowed, Sales, Not-in-family, White, Female
8803, Never-married, Handlers-cleaners, Not-in-family, White, Male
8804, Never-married, Exec-managerial, Own-child, White, Female
8805, Never-married, Other-service, Not-in-family, White, Male
8806, Never-married, ?, Other-relative, White, Male
8807, Married-civ-spouse, Prof-specialty, Husband, White, Male
8808, Never-married, Prof-specialty, Not-in-family, White, Female
8809, Married-civ-spouse, Prof-specialty, Husband, White, Male
8810, Never-married, Prof-specialty, Not-in-family, White, Male
8811, Divorced, Tech-support, Unmarried, White, Female
8812, Married-civ-spouse, Protective-serv, Wife, Black, Female
8813, Never-married, Adm-clerical, Not-in-family, White, Female
8814, Married-civ-spouse, Adm-clerical, Husband, White, Male
8815, Married-civ-spouse, Exec-managerial, Husband, White, Male
8816, Never-married, Other-service, Not-in-family, White, Male
8817, Married-civ-spouse, Exec-managerial, Husband, White, Male
8818, Separated, Machine-op-inspct, Own-child, White, Male
8819, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
8820, Married-civ-spouse, Other-service, Wife, White, Female
8821, Never-married, Prof-specialty, Not-in-family, White, Male
8822, Married-civ-spouse, Craft-repair, Husband, White, Male
8823, Widowed, ?, Not-in-family, White, Female
8824, Married-civ-spouse, Protective-serv, Husband, White, Male
8825, Divorced, Sales, Unmarried, White, Female
8826, Married-civ-spouse, Sales, Husband, White, Male
8827, Married-civ-spouse, Exec-managerial, Husband, White, Male
8828, Married-civ-spouse, Exec-managerial, Husband, White, Male
8829, Never-married, Other-service, Own-child, White, Male
8830, Married-civ-spouse, Sales, Husband, Black, Male
8831, Married-civ-spouse, Exec-managerial, Husband, White, Male
8832, Never-married, Exec-managerial, Own-child, White, Female
8833, Never-married, Prof-specialty, Not-in-family, White, Female
8834, Married-civ-spouse, Sales, Husband, White, Male
8835, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male
8836, Never-married, Prof-specialty, Not-in-family, Black, Female
8837, Married-civ-spouse, Protective-serv, Husband, White, Male
8838, Never-married, Prof-specialty, Not-in-family, White, Female
8839, Never-married, Transport-moving, Own-child, White, Male
8840, Divorced, Handlers-cleaners, Unmarried, White, Female
8841, Married-civ-spouse, Protective-serv, Husband, White, Male
8842, Married-civ-spouse, Protective-serv, Husband, White, Male
8843, Married-civ-spouse, Adm-clerical, Wife, White, Female
8844, Never-married, Adm-clerical, Not-in-family, White, Female
8845, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male
8846, Separated, Other-service, Unmarried, Asian-Pac-Islander, Female
8847, Never-married, Priv-house-serv, Not-in-family, White, Female
8848, Married-civ-spouse, ?, Not-in-family, Other, Female
8849, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
8850, Married-civ-spouse, Craft-repair, Husband, White, Male
8851, Married-civ-spouse, Tech-support, Husband, White, Male
8852, Married-civ-spouse, Protective-serv, Husband, White, Male
8853, Married-civ-spouse, Exec-managerial, Husband, White, Male
8854, Widowed, ?, Not-in-family, White, Female
8855, Married-civ-spouse, Sales, Husband, White, Male
8856, Never-married, Other-service, Own-child, White, Female
8857, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male
8858, Never-married, Exec-managerial, Not-in-family, White, Male
8859, Married-civ-spouse, Prof-specialty, Husband, White, Male
8860, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
8861, Divorced, Craft-repair, Not-in-family, White, Male
8862, Separated, Adm-clerical, Unmarried, Black, Female
8863, Married-civ-spouse, Exec-managerial, Husband, White, Male
8864, Separated, Craft-repair, Not-in-family, White, Male
8865, Married-civ-spouse, Craft-repair, Husband, White, Male
8866, Married-civ-spouse, Machine-op-inspct, Wife, White, Female
8867, Married-spouse-absent, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male
8868, Divorced, Craft-repair, Unmarried, White, Male
8869, Divorced, Craft-repair, Own-child, White, Male
8870, Married-civ-spouse, Sales, Husband, White, Male
8871, Never-married, Machine-op-inspct, Own-child, White, Male
8872, Never-married, Other-service, Unmarried, Black, Female
8873, Married-civ-spouse, Adm-clerical, Wife, White, Female
8874, Separated, Adm-clerical, Own-child, Asian-Pac-Islander, Female
8875, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male
8876, Divorced, Sales, Unmarried, White, Female
8877, Never-married, Farming-fishing, Own-child, White, Male
8878, Never-married, Adm-clerical, Not-in-family, White, Female
8879, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
8880, Married-civ-spouse, Prof-specialty, Husband, White, Male
8881, Married-civ-spouse, Sales, Husband, White, Male
8882, Never-married, Farming-fishing, Own-child, White, Male
8883, Married-civ-spouse, Exec-managerial, Husband, White, Male
8884, Married-civ-spouse, Prof-specialty, Husband, White, Male
8885, Never-married, Priv-house-serv, Not-in-family, White, Female
8886, Married-civ-spouse, Prof-specialty, Husband, White, Male
8887, Married-civ-spouse, Farming-fishing, Husband, White, Male
8888, Married-civ-spouse, Craft-repair, Husband, White, Male
8889, Married-civ-spouse, Craft-repair, Husband, White, Male
8890, Separated, Adm-clerical, Not-in-family, Black, Male
8891, Divorced, Transport-moving, Unmarried, White, Male
8892, Never-married, Sales, Own-child, White, Female
8893, Divorced, Adm-clerical, Unmarried, White, Female
8894, Married-civ-spouse, Other-service, Wife, White, Female
8895, Never-married, Exec-managerial, Not-in-family, White, Female
8896, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male
8897, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male
8898, Never-married, Other-service, Not-in-family, White, Female
8899, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male
8900, Divorced, Handlers-cleaners, Not-in-family, White, Female
8901, Married-civ-spouse, Craft-repair, Husband, White, Male
8902, Never-married, Other-service, Own-child, White, Female
8903, Married-civ-spouse, Transport-moving, Husband, Black, Male
8904, Married-civ-spouse, Sales, Husband, White, Male
8905, Divorced, Adm-clerical, Unmarried, White, Female
8906, Divorced, Adm-clerical, Not-in-family, White, Female
8907, Married-civ-spouse, Farming-fishing, Husband, White, Male
8908, Never-married, Adm-clerical, Own-child, White, Female
8909, Married-spouse-absent, ?, Not-in-family, White, Male
8910, Never-married, Prof-specialty, Not-in-family, White, Male
8911, Married-civ-spouse, Prof-specialty, Husband, White, Male
8912, Divorced, Handlers-cleaners, Not-in-family, White, Male
8913, Married-civ-spouse, Sales, Husband, White, Male
8914, Never-married, Handlers-cleaners, Not-in-family, Black, Male
8915, Married-civ-spouse, Sales, Husband, White, Male
8916, Separated, Adm-clerical, Unmarried, Black, Female
8917, Never-married, Other-service, Not-in-family, White, Female
8918, Married-civ-spouse, Craft-repair, Husband, White, Male
8919, Married-civ-spouse, Sales, Husband, White, Male
8920, Married-civ-spouse, Exec-managerial, Husband, Black, Male
8921, Never-married, ?, Unmarried, White, Female
8922, Never-married, Adm-clerical, Not-in-family, White, Male
8923, Never-married, Adm-clerical, Not-in-family, White, Female
8924, Never-married, Sales, Own-child, White, Male
8925, Married-civ-spouse, Transport-moving, Husband, Other, Male
8926, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
8927, Married-civ-spouse, Farming-fishing, Husband, White, Male
8928, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
8929, Married-civ-spouse, Exec-managerial, Wife, White, Female
8930, Married-civ-spouse, Exec-managerial, Husband, White, Male
8931, Divorced, Craft-repair, Not-in-family, White, Male
8932, Never-married, Adm-clerical, Own-child, White, Female
8933, Never-married, Transport-moving, Own-child, White, Male
8934, Married-civ-spouse, Craft-repair, Husband, White, Male
8935, Never-married, Transport-moving, Not-in-family, Black, Male
8936, Married-civ-spouse, Sales, Husband, White, Male
8937, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
8938, Married-civ-spouse, Craft-repair, Husband, White, Male
8939, Divorced, Machine-op-inspct, Not-in-family, White, Male
8940, Married-civ-spouse, Exec-managerial, Husband, White, Male
8941, Divorced, ?, Not-in-family, White, Male
8942, Divorced, Sales, Unmarried, White, Female
8943, Never-married, Craft-repair, Not-in-family, White, Male
8944, Never-married, Adm-clerical, Not-in-family, Other, Female
8945, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
8946, Married-civ-spouse, Protective-serv, Husband, White, Male
8947, Married-civ-spouse, Adm-clerical, Husband, White, Male
8948, Widowed, Machine-op-inspct, Unmarried, Other, Female
8949, Widowed, Sales, Not-in-family, White, Female
8950, Widowed, ?, Not-in-family, White, Female
8951, Never-married, Prof-specialty, Not-in-family, White, Female
8952, Never-married, Exec-managerial, Unmarried, White, Female
8953, Married-civ-spouse, Transport-moving, Husband, White, Male
8954, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male
8955, Married-civ-spouse, ?, Husband, White, Male
8956, Married-civ-spouse, Adm-clerical, Wife, White, Female
8957, Married-civ-spouse, Farming-fishing, Husband, White, Male
8958, Married-civ-spouse, Exec-managerial, Husband, White, Male
8959, Married-civ-spouse, Farming-fishing, Husband, White, Male
8960, Married-civ-spouse, Transport-moving, Husband, White, Male
8961, Widowed, Adm-clerical, Unmarried, White, Female
8962, Married-civ-spouse, Farming-fishing, Husband, White, Male
8963, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female
8964, Widowed, ?, Not-in-family, White, Female
8965, Never-married, Exec-managerial, Not-in-family, White, Female
8966, Never-married, Adm-clerical, Not-in-family, White, Female
8967, Married-civ-spouse, Exec-managerial, Husband, White, Male
8968, Married-civ-spouse, Exec-managerial, Husband, Black, Male
8969, Divorced, Sales, Not-in-family, White, Male
8970, Never-married, Sales, Own-child, White, Male
8971, Never-married, Sales, Not-in-family, White, Male
8972, Married-civ-spouse, Craft-repair, Husband, White, Male
8973, Divorced, Adm-clerical, Not-in-family, White, Female
8974, Married-civ-spouse, Sales, Husband, White, Male
8975, Divorced, Adm-clerical, Unmarried, White, Female
8976, Married-civ-spouse, Craft-repair, Husband, White, Male
8977, Divorced, Craft-repair, Other-relative, Black, Male
8978, Married-civ-spouse, Exec-managerial, Husband, White, Male
8979, Married-civ-spouse, Transport-moving, Husband, White, Male
8980, Never-married, Prof-specialty, Not-in-family, White, Female
8981, Married-civ-spouse, Exec-managerial, Husband, White, Male
8982, Married-civ-spouse, Exec-managerial, Husband, White, Male
8983, Married-civ-spouse, Sales, Husband, White, Male
8984, Married-civ-spouse, Craft-repair, Husband, White, Male
8985, Never-married, Tech-support, Not-in-family, White, Female
8986, Separated, ?, Unmarried, White, Female
8987, Married-civ-spouse, Sales, Husband, Black, Male
8988, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
8989, Married-civ-spouse, Prof-specialty, Husband, White, Male
8990, Divorced, Sales, Unmarried, White, Male
8991, Married-civ-spouse, Transport-moving, Husband, White, Male
8992, Married-civ-spouse, ?, Wife, White, Female
8993, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male
8994, Separated, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male
8995, Married-civ-spouse, Craft-repair, Husband, Black, Male
8996, Never-married, Handlers-cleaners, Not-in-family, White, Male
8997, Never-married, ?, Not-in-family, White, Male
8998, Separated, Other-service, Unmarried, White, Female
8999, Married-civ-spouse, Craft-repair, Husband, White, Male
9000, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
9001, Married-civ-spouse, Transport-moving, Husband, White, Male
9002, Divorced, Sales, Not-in-family, White, Male
9003, Never-married, Handlers-cleaners, Not-in-family, White, Male
9004, Never-married, Prof-specialty, Unmarried, White, Female
9005, Married-civ-spouse, Craft-repair, Husband, White, Male
9006, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
9007, Never-married, Machine-op-inspct, Not-in-family, White, Male
9008, Married-civ-spouse, Craft-repair, Husband, White, Male
9009, Married-civ-spouse, Exec-managerial, Husband, White, Male
9010, Never-married, Prof-specialty, Own-child, White, Male
9011, Never-married, Other-service, Own-child, White, Female
9012, Divorced, Handlers-cleaners, Other-relative, White, Male
9013, Never-married, Sales, Other-relative, White, Female
9014, Never-married, Prof-specialty, Not-in-family, White, Female
9015, Married-civ-spouse, Transport-moving, Husband, White, Male
9016, Married-civ-spouse, Other-service, Husband, Other, Male
9017, Married-civ-spouse, Sales, Husband, Black, Male
9018, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female
9019, Married-spouse-absent, Farming-fishing, Unmarried, White, Male
9020, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
9021, Never-married, Handlers-cleaners, Not-in-family, White, Male
9022, Married-civ-spouse, Sales, Husband, White, Male
9023, Married-civ-spouse, Sales, Husband, White, Male
9024, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
9025, Married-civ-spouse, Exec-managerial, Husband, White, Male
9026, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
9027, Married-civ-spouse, Sales, Husband, White, Male
9028, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
9029, Married-civ-spouse, ?, Husband, White, Male
9030, Married-civ-spouse, Exec-managerial, Husband, White, Male
9031, Married-civ-spouse, ?, Husband, White, Male
9032, Married-civ-spouse, Craft-repair, Husband, White, Male
9033, Married-civ-spouse, Exec-managerial, Husband, White, Male
9034, Married-civ-spouse, Craft-repair, Husband, White, Male
9035, Never-married, Adm-clerical, Not-in-family, White, Female
9036, Married-civ-spouse, Adm-clerical, Husband, White, Male
9037, Married-civ-spouse, Other-service, Husband, Black, Male
9038, Never-married, Handlers-cleaners, Own-child, White, Male
9039, Married-civ-spouse, Transport-moving, Husband, White, Male
9040, Never-married, Sales, Own-child, White, Female
9041, Never-married, Exec-managerial, Own-child, White, Female
9042, Married-civ-spouse, Tech-support, Husband, White, Male
9043, Never-married, Other-service, Not-in-family, Black, Female
9044, Never-married, Priv-house-serv, Own-child, White, Female
9045, Divorced, Tech-support, Own-child, White, Male
9046, Never-married, Prof-specialty, Own-child, Black, Female
9047, Married-civ-spouse, Other-service, Husband, White, Male
9048, Never-married, Exec-managerial, Not-in-family, Black, Female
9049, Never-married, Machine-op-inspct, Own-child, White, Male
9050, Divorced, Prof-specialty, Unmarried, Black, Female
9051, Married-civ-spouse, Craft-repair, Husband, White, Male
9052, Never-married, Prof-specialty, Own-child, White, Male
9053, Divorced, Sales, Unmarried, White, Female
9054, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female
9055, Never-married, Handlers-cleaners, Own-child, White, Male
9056, Widowed, Other-service, Not-in-family, White, Female
9057, Never-married, Sales, Not-in-family, White, Male
9058, Married-civ-spouse, Prof-specialty, Husband, White, Male
9059, Never-married, Tech-support, Own-child, White, Female
9060, Married-civ-spouse, Prof-specialty, Husband, White, Male
9061, Married-civ-spouse, Adm-clerical, Husband, White, Male
9062, Never-married, Adm-clerical, Own-child, White, Female
9063, Married-civ-spouse, Prof-specialty, Husband, White, Male
9064, Married-civ-spouse, Exec-managerial, Husband, White, Male
9065, Never-married, Prof-specialty, Not-in-family, White, Male
9066, Married-civ-spouse, Craft-repair, Husband, Other, Male
9067, Married-civ-spouse, Farming-fishing, Husband, White, Male
9068, Married-civ-spouse, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Female
9069, Never-married, Other-service, Not-in-family, Black, Male
9070, Never-married, Adm-clerical, Not-in-family, Black, Female
9071, Married-civ-spouse, Exec-managerial, Husband, White, Male
9072, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
9073, Married-civ-spouse, Exec-managerial, Husband, Other, Male
9074, Separated, Adm-clerical, Not-in-family, White, Female
9075, Married-civ-spouse, Transport-moving, Husband, White, Male
9076, Married-civ-spouse, Sales, Husband, White, Male
9077, Never-married, Adm-clerical, Own-child, White, Female
9078, Never-married, Prof-specialty, Own-child, White, Female
9079, Never-married, Adm-clerical, Not-in-family, White, Male
9080, Married-civ-spouse, Exec-managerial, Husband, White, Male
9081, Never-married, Machine-op-inspct, Own-child, White, Male
9082, Never-married, Other-service, Other-relative, Black, Male
9083, Widowed, Adm-clerical, Not-in-family, White, Female
9084, Married-civ-spouse, Protective-serv, Husband, White, Male
9085, Divorced, Exec-managerial, Not-in-family, White, Male
9086, Married-civ-spouse, Craft-repair, Husband, White, Male
9087, Divorced, Machine-op-inspct, Not-in-family, White, Male
9088, Married-civ-spouse, Other-service, Husband, Black, Male
9089, Never-married, Other-service, Not-in-family, White, Male
9090, Married-civ-spouse, Exec-managerial, Husband, White, Male
9091, Never-married, Adm-clerical, Unmarried, White, Female
9092, Married-civ-spouse, Exec-managerial, Husband, White, Male
9093, Never-married, Adm-clerical, Unmarried, White, Male
9094, Married-civ-spouse, Exec-managerial, Husband, White, Male
9095, Never-married, Other-service, Not-in-family, White, Male
9096, Married-civ-spouse, Protective-serv, Husband, White, Male
9097, Married-civ-spouse, Transport-moving, Husband, White, Male
9098, Never-married, Prof-specialty, Not-in-family, White, Female
9099, Never-married, Sales, Not-in-family, White, Male
9100, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
9101, Never-married, Machine-op-inspct, Not-in-family, White, Male
9102, Married-civ-spouse, Adm-clerical, Wife, White, Female
9103, Divorced, Adm-clerical, Unmarried, White, Female
9104, Never-married, Sales, Not-in-family, White, Female
9105, Never-married, Farming-fishing, Not-in-family, White, Male
9106, Married-civ-spouse, Exec-managerial, Husband, White, Male
9107, Widowed, ?, Other-relative, White, Female
9108, Married-civ-spouse, Craft-repair, Husband, White, Male
9109, Married-civ-spouse, Sales, Husband, White, Male
9110, Never-married, Prof-specialty, Not-in-family, White, Male
9111, Never-married, Prof-specialty, Not-in-family, White, Female
9112, Never-married, Prof-specialty, Own-child, White, Male
9113, Never-married, Transport-moving, Not-in-family, White, Male
9114, Married-civ-spouse, Adm-clerical, Husband, Black, Male
9115, Married-civ-spouse, Sales, Other-relative, White, Male
9116, Divorced, Exec-managerial, Not-in-family, White, Male
9117, Never-married, Other-service, Not-in-family, White, Male
9118, Never-married, Craft-repair, Own-child, White, Female
9119, Never-married, Handlers-cleaners, Other-relative, Other, Male
9120, Divorced, Sales, Own-child, White, Female
9121, Married-spouse-absent, Craft-repair, Not-in-family, White, Male
9122, Married-civ-spouse, Craft-repair, Husband, White, Male
9123, Never-married, Other-service, Unmarried, Black, Female
9124, Married-civ-spouse, Prof-specialty, Husband, Black, Male
9125, Married-civ-spouse, Farming-fishing, Husband, White, Male
9126, Never-married, Sales, Own-child, White, Male
9127, Married-civ-spouse, Prof-specialty, Husband, White, Male
9128, Never-married, Handlers-cleaners, Unmarried, White, Male
9129, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Female
9130, Married-civ-spouse, Craft-repair, Husband, White, Male
9131, Married-civ-spouse, Exec-managerial, Husband, White, Male
9132, Divorced, Prof-specialty, Unmarried, White, Male
9133, Divorced, Adm-clerical, Not-in-family, White, Male
9134, Never-married, Other-service, Own-child, White, Female
9135, Married-civ-spouse, Craft-repair, Husband, White, Male
9136, Never-married, Other-service, Not-in-family, White, Male
9137, Married-civ-spouse, Sales, Husband, White, Male
9138, Married-civ-spouse, Sales, Husband, White, Male
9139, Married-civ-spouse, ?, Husband, White, Male
9140, Never-married, Adm-clerical, Not-in-family, White, Female
9141, Married-civ-spouse, ?, Husband, White, Male
9142, Never-married, ?, Unmarried, White, Female
9143, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
9144, Married-civ-spouse, Farming-fishing, Husband, White, Male
9145, Married-civ-spouse, Prof-specialty, Husband, White, Male
9146, Never-married, Prof-specialty, Not-in-family, White, Male
9147, Married-civ-spouse, Exec-managerial, Husband, White, Male
9148, Widowed, ?, Other-relative, Asian-Pac-Islander, Female
9149, Never-married, ?, Not-in-family, White, Female
9150, Never-married, Sales, Own-child, White, Female
9151, Married-civ-spouse, Craft-repair, Husband, White, Male
9152, Never-married, Adm-clerical, Not-in-family, Black, Female
9153, Married-civ-spouse, Protective-serv, Husband, White, Male
9154, Never-married, Adm-clerical, Unmarried, White, Female
9155, Divorced, Transport-moving, Not-in-family, White, Male
9156, Never-married, ?, Not-in-family, Other, Male
9157, Married-civ-spouse, Sales, Wife, White, Female
9158, Never-married, Sales, Not-in-family, White, Female
9159, Married-civ-spouse, Exec-managerial, Husband, White, Male
9160, Never-married, Handlers-cleaners, Not-in-family, White, Male
